Map,Agent Picked,Total Wins By Map,Total Maps Played
Bind,yoru,1,1
Bind,skye,0,1
Bind,brimstone,0,1
Bind,harbor,0,1
Bind,chamber,0,1
Bind,yoru,0,1
Bind,skye,0,1
Bind,viper,0,1
Bind,jett,0,1
Bind,astra,0,1
Bind,sova,0,1
Bind,skye,0,1
Bind,viper,0,1
Bind,raze,0,1
Bind,brimstone,0,1
Bind,chamber,0,1
Lotus,skye,3,3
Lotus,viper,3,3
Lotus,raze,3,3
Lotus,killjoy,3,3
Lotus,omen,3,3
Lotus,viper,0,3
Lotus,raze,0,3
Lotus,killjoy,0,3
Lotus,omen,0,3
Lotus,fade,0,3
Lotus,skye,1,1
Lotus,viper,1,1
Lotus,raze,1,1
Lotus,killjoy,1,1
Lotus,astra,1,1
Lotus,skye,0,1
Lotus,viper,0,1
Lotus,raze,0,1
Lotus,killjoy,0,1
Lotus,omen,0,1
Pearl,skye,1,2
Pearl,viper,1,2
Pearl,killjoy,1,2
Pearl,jett,1,2
Pearl,harbor,1,2
Pearl,skye,1,2
Pearl,viper,1,2
Pearl,killjoy,1,2
Pearl,jett,1,2
Pearl,harbor,1,2
Pearl,skye,2,3
Pearl,viper,2,3
Pearl,killjoy,2,3
Pearl,jett,2,3
Pearl,harbor,2,3
Pearl,killjoy,0,2
Pearl,jett,0,2
Pearl,astra,0,2
Pearl,sova,0,2
Pearl,kayo,0,2
Pearl,skye,1,1
Pearl,killjoy,1,1
Pearl,jett,1,1
Pearl,omen,1,1
Pearl,harbor,1,1
Split,skye,2,3
Split,viper,2,3
Split,raze,2,3
Split,astra,2,3
Split,chamber,2,3
Split,skye,2,4
Split,viper,2,4
Split,raze,2,4
Split,jett,2,4
Split,astra,2,4
Split,skye,1,2
Split,raze,1,2
Split,astra,1,2
Split,breach,1,2
Split,cypher,1,2
Split,skye,1,3
Split,viper,1,3
Split,raze,1,3
Split,jett,1,3
Split,astra,1,3
Split,skye,0,1
Split,viper,0,1
Split,raze,0,1
Split,astra,0,1
Split,chamber,0,1
Split,skye,1,1
Split,viper,1,1
Split,raze,1,1
Split,jett,1,1
Split,astra,1,1
Ascent,killjoy,2,3
Ascent,jett,2,3
Ascent,omen,2,3
Ascent,sova,2,3
Ascent,kayo,2,3
Ascent,killjoy,0,1
Ascent,jett,0,1
Ascent,omen,0,1
Ascent,sova,0,1
Ascent,kayo,0,1
Ascent,skye,1,1
Ascent,viper,1,1
Ascent,killjoy,1,1
Ascent,jett,1,1
Ascent,omen,1,1
Ascent,killjoy,0,1
Ascent,jett,0,1
Ascent,omen,0,1
Ascent,sova,0,1
Ascent,kayo,0,1
Fracture,raze,1,1
Fracture,killjoy,1,1
Fracture,jett,1,1
Fracture,brimstone,1,1
Fracture,breach,1,1
